我们	0.823
所	0.781
认为	0.868
的	0.795
他	0.792
不	0.675
喜欢	0.865
吃	0.639
这个	0.747
，	0.742
一定	0.775
不会	0.729
这么	0.674
做	0.799
被	0.711
其他人	0.744
打破	0.923
时候	0.760
终于	0.699
会	0.832
知道	0.691
原来	0.780
某个	0.842
人	0.729
也	0.753
因为	0.737
改变	0.923
自己	0.803
。	0.744
现在	0.702
韩	0.573
娱圈	0.311
一点	0.777
不好玩	0.311
了	0.699
都	0.741
瞄准	0.311
金字塔	0.311
顶尖	0.770
稍微	0.516
有点	0.701
什么	0.720
错合	0.311
起伙来	0.311
踩	0.806
你	0.750
今天	0.717
明天	0.631
就	0.707
别人	0.817
何必	0.757
呢	0.684
↓	0.710
我来	0.660
为	0.776
解答	0.764
一汽	0.294
轿车	0.025
四川	0.571
九洲	0.025
北京	0.672
文化	0.919
金宇车	0.025
城	0.788
卫人	0.112
中医医院	0.704
##	0.720
医院	0.675
#	0.621
　	0.779
死	0.667
精症	0.112
是	0.781
指	0.616
死亡	0.637
精子	0.112
达到	0.805
50%	0.739
以上	0.645
原因	0.702
有	0.760
：	0.707
1	0.560
、	0.720
感染	0.717
如附	0.112
性腺	0.112
如	0.679
附睾	0.112
腺	0.661
精囊	0.112
前列腺	0.112
直接	0.521
损伤	0.704
受损	0.654
导致	0.697
活力	0.870
明显降低	0.112
造成	0.812
死精	0.112
增多	0.550
细菌	0.681
可	0.656
内外	0.711
甚至	0.794
染色体	0.112
结构	0.606
;	0.803
2	0.512
毒素	0.112
有毒	0.638
物质	0.689
药物	0.773
等	0.680
3	0.564
抗	0.615
抗体	0.484
4	0.629
细胞	0.804
毒性	0.556
我	0.723
周围	0.913
朋友	0.812
跟	0.774
说	0.660
出去	0.623
呆	0.576
几天	0.712
说话	0.743
其实	0.767
不管	0.740
一周	0.636
还是	0.760
一个月	0.684
在	0.773
遇到	0.754
问题	0.746
放	0.643
着	0.785
解决不了	0.800
去	0.690
公司	0.596
一点点	0.820
开始	0.765
捋	0.667
思路	0.992
就算	0.645
走	0.801
两公里	1.000
手机	0.599
电脑	0.696
椅子	0.606
坏掉	0.821
没	0.635
觉得	0.765
很	0.826
心烦	0.682
只是	0.766
一件	0.708
买	0.551
新	0.860
解决	0.742
这些	0.781
很多	0.823
热爱	0.956
风景	0.807
才	0.770
旅行	0.771
不是	0.695
状态	0.830
差到	0.612
程度	0.782
再	0.731
缓解	0.773
焦虑	0.931
和	0.788
压力	0.873
又	0.730
把	0.710
逼回	1.000
抑郁症	1.000
焦虑症	1.000
所以	0.770
而且	0.652
要	0.699
看海	1.000
那种	0.813
这时候	0.498
太	0.705
羡慕	0.942
朝九晚五	0.978
还	0.691
偷偷	0.894
庆幸	0.906
自由职业	1.000
.	0.848
北京动物园	0.962
美洲	0.994
动物	0.926
区	0.577
忘记	0.732
这	0.761
张	0.697
发出	0.669
来	0.739
大	0.745
食蚁兽	0.962
内舍	0.962
那边	0.716
当时	0.640
美	0.859
～	0.735
20201101	0.962
头	0.616
炸裂	0.634
一整天	0.694
差点	0.688
以为	0.690
过去	0.750
正巧	0.634
好久不见	0.894
出差	0.555
拖出来	0.634
一起	0.863
喝一杯	0.728
此刻	0.917
听	0.766
音乐	0.843
夜色	0.939
配	0.842
奶酪	0.817
肘子	0.634
混	0.544
搭	0.695
好开心	0.891
🥳	0.735
下个月	0.567
订去	0.208
票	0.640
惊艳	0.916
绝伦	0.996
严浩翔	0.743
稀奇	0.980
群	0.765
有无	0.863
？	0.625
偶尔	0.801
约个	0.671
线下	0.778
快乐	0.965
追星	0.896
🤩	0.998
隐秘	0.978
而	0.859
伟大	0.944
草	0.591
演技	0.974
真	0.690
好	0.772
原	0.776
声	0.597
配音	0.858
美中不足	0.999
某	0.589
配角	0.947
加戏	1.000
咖老	1.000
影响	0.754
高光	0.999
剧情	0.856
乌鱼子	1.000
大概	0.726
2020	0.628
年	0.672
继庆	1.000
余年	1.000
后	0.696
第二部	0.999
追	0.877
完剧	1.000
（	0.629
真的	0.742
很难	0.870
让	0.788
看	0.789
下去	0.735
）	0.625
已经	0.735
迫不及待	0.841
期待	0.851
号手	1.000
就位	1.000
最近	0.722
玩	0.713
王者	0.598
们	0.838
为了	0.759
我开	0.669
小号	0.635
带	0.751
上	0.764
段位	1.000
前段时间	0.815
再次	0.782
搬家	0.852
希望	0.774
这是	0.812
最后	0.789
一次	0.738
太累	0.693
无意	0.999
中	0.830
不光	0.853
直属	1.000
领导	0.670
肯定	0.672
其他	0.675
团队	0.822
哈哈哈哈	0.828
哈哈哈	0.872
小丁	0.893
就是	0.745
小丁嗷	1.000
马上	0.609
上海	0.590
待	0.716
三年	0.768
不爱	0.924
北方	0.720
想	0.720
回家	0.685
保持	0.770
现状	0.932
挺	0.714
起码	0.717
明年	0.838
五一	0.700
需要	0.736
纠结	0.582
留	0.613
原本	0.780
十二月	0.854
盼头	0.997
迪士尼	0.464
哈尔滨	0.344
只	0.630
剩下	0.767
南京	0.834
一个	0.809
愿	0.597
十二	0.944
🈷	1.000
️	0.601
美好	0.889
如果	0.726
记错	1.000
华图	1.000
答案	0.945
对	0.771
的话	0.725
考个	0.998
分数	0.881
清楚	0.733
几两	1.000
干饭	0.765
以后	0.745
考场	0.986
前先	1.000
做一套	0.948
言语	0.999
热身	1.000
真是	0.727
刚	0.685
感觉	0.764
后来	0.740
有些	0.734
清晰	0.928
收拾	0.533
一下	0.679
沉重	0.859
心情	0.725
准备	0.699
省考	1.000
吧	0.744
可是	0.703
研究生	0.848
大佬	0.427
对战	1.000
北京市	0.510
考报	1.000
不报	1.000
个	0.654
哎	0.540
知音	1.000
少	0.696
弦	0.900
断	0.751
谁	0.724
牙齿	0.683
矫正	0.650
哪里	0.598
最好	0.847
纠正	0.267
口腔	0.870
费用	0.475
虎牙	0.450
戴牙套	0.401
口碑	0.665
较	0.564
嘴凸	0.401
价格	0.606
牙缝	0.179
牙科	0.179
大整	0.179
牙	0.599
哪个	0.633
比较	0.797
可以	0.752
问	0.574
整牙	0.393
常问	0.401
维尔	0.726
皓康	0.090
德泽	0.179
冠美	0.179
平乐	0.179
口腔医院	0.948
性价比	0.883
高	0.816
O	0.729
全国	0.717
医生	0.846
项目	0.796
正畸	0.404
案列	0.401
排名	0.923
查询	0.576
两年	0.642
没有	0.743
钱	0.412
赔掉	0.931
应该	0.766
房子	0.532
结婚	0.773
没法	0.556
社会现状	0.931
活不下去	0.489
啊	0.649
汪峰	0.523
资讯	0.698
晚安	0.828
所有	0.748
未眠	0.523
人们	0.889
~	0.911
L	0.886
2010	0.892
现场	0.652
易	0.805
烊	0.775
千玺	0.761
春晚	0.774
我要	0.797
奶奶	0.789
笑	0.809
孩子	0.872
:	0.761
长大	0.913
那要	0.822
男朋友	0.587
那	0.756
【	0.670
89	0.666
所设	0.994
发热	0.465
门诊	0.568
医疗机构	0.327
名单	0.736
】	0.670
因	0.687
看病	0.583
就近	0.534
设有	0.665
就诊	0.473
避免出现	0.994
交叉感染	0.525
到	0.717
时应	0.248
戴	0.679
口罩	0.516
主动	0.794
告诉	0.687
医务人员	0.776
近期	0.785
与	0.824
咳嗽	0.525
症状	0.453
患者	0.638
近距离	0.934
接触	0.708
史	0.728
便于	0.997
准确	0.777
确定	0.757
病情	0.768
采取	0.738
及时	0.607
适宜	0.998
治疗	0.563
专科	0.992
时	0.394
请	0.668
理解	0.808
遵守	0.522
诊疗	0.852
流程	0.699
规范	0.395
接受	0.619
工作人员	0.573
引导	0.718
探视病人	0.994
注意	0.695
加强	0.779
个人	0.656
防护	0.693
戴好	0.489
洗手	0.394
@	0.839
12320	0.958
聆听	0.875
许嵩	0.782
卫视	0.919
演唱	0.763
《	0.825
有何不可	0.782
》	0.826
控	0.794
越来越	0.801
稳啦	0.782
娱乐	0.670
网页	0.745
链接	0.734
年会	0.969
