user_id	微博正文
6473015115	五一四天假今天刚下课老爸就打微信视频然后直接给了我两百块五月加油5.11考试努力不辜负爸妈~今天回家忘记打电话和老妈说了下午带跳跳睡着了睡到晚上七点多我也是厉害晚安~
6445671898	2019.04.30换掉了繁体字.发生了不愉快的事、反正四月不太顺利。
6322512942	我围观了@白银81_的回答，该问题价值5.00元，围观仅1元，快来一起围观~O网页链接
6511763806	还有几分钟就到五月嘞🌻这个月感觉过得Chua一下，好像在美国见你还是昨天，结果去申🇨🇦的签证也就是后天了。五月是我们大金牛月，土象星座就很踏实又勤恳，希望这个五月我们都有很好的收获，向着目标一步步走下去。另外神奇的是，开年四个月了风浪不断，你出来得少，但也不觉得过于惦念。知道你在做自己喜欢的事，在我们看不见的地方努力就很好了，大家都要好好过属于自己的人生喏！踩着北半球春天的尾巴，跟四月说再见咯。@蔡徐坤
1758451715	我真的好累好焦虑根本不知道自己有没有记住
2881583160	最近怎么这么喜欢翻古老cp出来啃啊呜呜呜然后还啃的更加津津有味欲罢不能飞欢戚顾枢零什么的搜了一下枢零wtm说是最新漫画枢零女儿都搞百合了？exm？所以当初为什么不直接就搞枢零？？？
6198982551	如果你要追就快点追吧哥，没意思就别整天在我面前瞎晃悠让我多想。肯定是我多想，但求你能不能别老在我面前瞎晃悠了
5130745285	这种剧情我看累了，既然是我不听我不听何必来问我呢
6578365301	差点线都画不完那我可当场去世
5528259457	假装自己过得很好....夜太难熬了他们都说还断不了我也不知道可能吧……
7002668570	今天冒着雨骑自行车啦上一次骑还远在小学时期？不敢下坡差点撞到路人不得不说我对速度稍微高一点的东西真的很恐惧害怕就我这样还想学滑板？
3626010934	写论文这种东西真的不想再经历第二遍
1866347270	房客现在都没回来，我发现我是真的骚不动，一年之前跟小羊在外面玩基本十点半我就霜打的茄子般撑不住要睡觉。现在的年轻人基本十二点半才会考虑往回走。
1830976513	我免费围观了@孔庆东的回答，问题价值398.00元，快来一起免费围观~O微博问答
6021545002	之前，以为跟一些人的故事，会延续到这一生，总以为错误会得到谅解~不想再去在乎最虚无的东西，也不想低下自己的尘埃去挽回什么。无声，有时候比一把刀刃还厉害，我选择在今晚放手，我不想在乎别人不想要的感情，我也不想再次卑微的去诉说自己的想法，我知道自己曾经做过这件事，就行了。我问心无愧，至于感情的方向，在今晚有了一个答案，我选择退出这场角色。爱咋的，咋的。无声就无声，我还能更无声...我不会再次为了自以为的在乎低下我的姿态，因为别人也许根本就不在乎，何必惹尘埃？我在乎的，我想此刻我已明了~
2154665701	啊，原来英文版烟囱工里我最喜欢的歌之一居然是德语原文！德语原文啊！！妈呀我心里痒痒啊Timo大佬您说您都掺手这事了为什么不直接弄一个德语版啊……！太美了好吗……这韵脚捕捉美到我喘不上气……萨喵你还好意思说自己德语不行，这特么要叫德语不行，写德语歌剧的先得自杀一大半了！！【
3270629593	大部分所谓燃曲没看过作品的真的听不出差
6863682570	哪怕最后都和你说了你也还是没有就这么攒着吧我也不知道可以攒到什么时候
3099128851	我们所认为的他不喜欢吃这个，他一定不会这么做，被其他人打破的时候，终于会知道原来某个人也会因为某个人改变自己。
